observation_date,open,high,low,close,volume,source
2022-11-23,16.098000,16.527000,16.048000,16.518999,427241000,https://finance.yahoo.com/quote/NVDA/history
2022-11-25,16.318001,16.487000,16.172001,16.270000,167934000,https://finance.yahoo.com/quote/NVDA/history
2022-11-28,16.025999,16.357000,15.725000,15.827000,303741000,https://finance.yahoo.com/quote/NVDA/history
2022-11-29,15.827000,15.932000,15.520000,15.639000,298384000,https://finance.yahoo.com/quote/NVDA/history
2022-11-30,15.697000,16.930000,15.597000,16.923000,565298000,https://finance.yahoo.com/quote/NVDA/history
2022-12-01,16.999001,17.264999,16.635000,17.135000,470977000,https://finance.yahoo.com/quote/NVDA/history
2022-12-02,16.659000,16.933001,16.445000,16.875999,371389000,https://finance.yahoo.com/quote/NVDA/history
2022-12-05,16.679001,16.995001,16.472000,16.610001,352255000,https://finance.yahoo.com/quote/NVDA/history
2022-12-06,16.530001,16.573000,15.819000,15.987000,352694000,https://finance.yahoo.com/quote/NVDA/history
2022-12-07,15.772000,16.186001,15.667000,16.120001,372388000,https://finance.yahoo.com/quote/NVDA/history
2022-12-08,16.273001,17.179001,15.959000,17.169001,515456000,https://finance.yahoo.com/quote/NVDA/history
2022-12-09,17.160000,17.583000,16.975000,17.000999,465338000,https://finance.yahoo.com/quote/NVDA/history
2022-12-12,17.037001,17.538000,16.797001,17.535000,457328000,https://finance.yahoo.com/quote/NVDA/history
2022-12-13,18.531000,18.790001,17.711000,18.072001,656589000,https://finance.yahoo.com/quote/NVDA/history
2022-12-14,17.987000,18.252001,17.420000,17.674000,496888000,https://finance.yahoo.com/quote/NVDA/history
2022-12-15,17.146000,17.320000,16.700001,16.952000,478542000,https://finance.yahoo.com/quote/NVDA/history
2022-12-16,16.864000,17.041000,16.410000,16.570999,478232000,https://finance.yahoo.com/quote/NVDA/history
2022-12-19,16.572001,16.608999,16.145000,16.254000,354039000,https://finance.yahoo.com/quote/NVDA/history
2022-12-20,16.063999,16.309999,15.852000,16.084999,403260000,https://finance.yahoo.com/quote/NVDA/history
2022-12-21,16.114000,16.627001,16.101999,16.500999,325025000,https://finance.yahoo.com/quote/NVDA/history
2022-12-22,16.094000,16.138000,14.882000,15.339000,565045000,https://finance.yahoo.com/quote/NVDA/history
2022-12-23,15.196000,15.339000,14.883000,15.206000,349326000,https://finance.yahoo.com/quote/NVDA/history
2022-12-27,15.074000,15.100000,14.056000,14.121000,464902000,https://finance.yahoo.com/quote/NVDA/history
2022-12-28,13.927000,14.262000,13.884000,14.036000,351066000,https://finance.yahoo.com/quote/NVDA/history
2022-12-29,14.402000,14.683000,14.227000,14.603000,354923000,https://finance.yahoo.com/quote/NVDA/history
2022-12-30,14.334000,14.629000,14.233000,14.614000,310490000,https://finance.yahoo.com/quote/NVDA/history
2023-01-03,14.851000,14.996000,14.096000,14.315000,401277000,https://finance.yahoo.com/quote/NVDA/history
2023-01-04,14.567000,14.853000,14.241000,14.749000,431324000,https://finance.yahoo.com/quote/NVDA/history
2023-01-05,14.491000,14.564000,14.148000,14.265000,389168000,https://finance.yahoo.com/quote/NVDA/history
2023-01-06,14.474000,15.010000,14.034000,14.859000,405044000,https://finance.yahoo.com/quote/NVDA/history
2023-01-09,15.284000,16.056000,15.141000,15.628000,504231000,https://finance.yahoo.com/quote/NVDA/history
2023-01-10,15.507000,15.962000,15.472000,15.909000,384101000,https://finance.yahoo.com/quote/NVDA/history
2023-01-11,15.840000,16.028000,15.563000,16.000999,353285000,https://finance.yahoo.com/quote/NVDA/history
2023-01-12,16.100000,16.636999,15.492000,16.511000,551409000,https://finance.yahoo.com/quote/NVDA/history
2023-01-13,16.278000,16.922001,16.165001,16.899000,447287000,https://finance.yahoo.com/quote/NVDA/history
2023-01-17,16.899000,17.728001,16.899000,17.702000,511102000,https://finance.yahoo.com/quote/NVDA/history
2023-01-18,17.667000,17.872999,17.282000,17.377001,439624000,https://finance.yahoo.com/quote/NVDA/history
2023-01-19,17.035999,17.197001,16.731001,16.764999,452932000,https://finance.yahoo.com/quote/NVDA/history
2023-01-20,17.011000,17.856001,16.825001,17.839001,564967000,https://finance.yahoo.com/quote/NVDA/history
2023-01-23,18.063999,19.245001,17.818001,19.193001,655163000,https://finance.yahoo.com/quote/NVDA/history
2023-01-24,18.827000,19.495001,18.820000,19.264999,496204000,https://finance.yahoo.com/quote/NVDA/history
2023-01-25,18.913000,19.370001,18.580000,19.323000,449537000,https://finance.yahoo.com/quote/NVDA/history
2023-01-26,19.701000,20.166000,19.278000,19.802000,489535000,https://finance.yahoo.com/quote/NVDA/history
2023-01-27,19.462000,20.628000,19.405001,20.365000,542142000,https://finance.yahoo.com/quote/NVDA/history
2023-01-30,19.950001,20.139999,19.150000,19.162001,488611000,https://finance.yahoo.com/quote/NVDA/history
2023-01-31,19.170000,19.687000,18.950001,19.537001,498017000,https://finance.yahoo.com/quote/NVDA/history
2023-02-01,19.691000,21.191999,19.611000,20.943001,660477000,https://finance.yahoo.com/quote/NVDA/history
2023-02-02,21.000000,21.948999,20.700001,21.709000,564276000,https://finance.yahoo.com/quote/NVDA/history
2023-02-03,21.000000,21.745001,20.789000,21.100000,429366000,https://finance.yahoo.com/quote/NVDA/history
2023-02-06,20.806000,21.570000,20.785999,21.089001,452197000,https://finance.yahoo.com/quote/NVDA/history
2023-02-07,21.382000,22.259001,21.150000,22.173000,664150000,https://finance.yahoo.com/quote/NVDA/history
2023-02-08,22.386999,22.878000,22.007999,22.205000,559651000,https://finance.yahoo.com/quote/NVDA/history
2023-02-09,22.606001,23.020000,22.120001,22.337000,523876000,https://finance.yahoo.com/quote/NVDA/history
2023-02-10,21.690001,22.077999,20.811001,21.264999,550737000,https://finance.yahoo.com/quote/NVDA/history
2023-02-13,21.538000,22.048000,20.962000,21.788000,474919000,https://finance.yahoo.com/quote/NVDA/history
2023-02-14,21.577999,23.049000,21.365999,22.971001,675474000,https://finance.yahoo.com/quote/NVDA/history
2023-02-15,22.549000,22.855000,22.106001,22.764000,420575000,https://finance.yahoo.com/quote/NVDA/history
2023-02-16,22.132999,22.549999,21.927000,22.002001,412026000,https://finance.yahoo.com/quote/NVDA/history
2023-02-17,21.631001,21.740000,20.975000,21.388000,465888000,https://finance.yahoo.com/quote/NVDA/history
2023-02-21,21.000000,21.493999,20.618000,20.655001,410015000,https://finance.yahoo.com/quote/NVDA/history
2023-02-22,20.707001,21.104000,20.421000,20.754000,513184000,https://finance.yahoo.com/quote/NVDA/history
2023-02-23,23.440001,23.888000,23.025000,23.664000,1117995000,https://finance.yahoo.com/quote/NVDA/history
2023-02-24,23.225000,23.474001,22.947001,23.285999,589716000,https://finance.yahoo.com/quote/NVDA/history
2023-02-27,23.670000,23.879999,23.454000,23.500999,452994000,https://finance.yahoo.com/quote/NVDA/history
2023-02-28,23.372000,23.825001,23.205999,23.216000,455963000,https://finance.yahoo.com/quote/NVDA/history
2023-03-01,23.191999,23.256001,22.507999,22.698000,460026000,https://finance.yahoo.com/quote/NVDA/history
2023-03-02,22.488001,23.379999,22.431999,23.313999,389415000,https://finance.yahoo.com/quote/NVDA/history
2023-03-03,23.320000,23.900000,23.129999,23.889999,412393000,https://finance.yahoo.com/quote/NVDA/history
2023-03-06,23.891001,24.247999,23.487000,23.554001,437429000,https://finance.yahoo.com/quote/NVDA/history
2023-03-07,23.600000,24.125000,23.240999,23.288000,515154000,https://finance.yahoo.com/quote/NVDA/history
2023-03-08,23.487000,24.200001,23.424000,24.181000,513573000,https://finance.yahoo.com/quote/NVDA/history
2023-03-09,24.174999,24.454000,23.382999,23.436001,501257000,https://finance.yahoo.com/quote/NVDA/history
2023-03-10,23.409000,23.627001,22.726000,22.965000,474866000,https://finance.yahoo.com/quote/NVDA/history
2023-03-13,22.752001,23.298000,22.297001,22.966000,421890000,https://finance.yahoo.com/quote/NVDA/history
2023-03-14,23.496000,24.219000,23.459999,24.063000,474910000,https://finance.yahoo.com/quote/NVDA/history
2023-03-15,23.761000,24.285999,23.360001,24.228001,524486000,https://finance.yahoo.com/quote/NVDA/history
2023-03-16,24.027000,25.587999,23.893999,25.541000,583253000,https://finance.yahoo.com/quote/NVDA/history
2023-03-17,25.982000,26.399000,25.667999,25.725000,848547000,https://finance.yahoo.com/quote/NVDA/history
2023-03-20,25.615000,26.024000,25.129999,25.900000,432747000,https://finance.yahoo.com/quote/NVDA/history
2023-03-21,26.180000,26.392000,25.381001,26.198999,547408000,https://finance.yahoo.com/quote/NVDA/history
2023-03-22,26.424999,27.589001,26.237000,26.468000,797295000,https://finance.yahoo.com/quote/NVDA/history
2023-03-23,27.115000,27.499001,26.690001,27.191000,564889000,https://finance.yahoo.com/quote/NVDA/history
2023-03-24,27.031000,27.167000,26.355000,26.778999,454920000,https://finance.yahoo.com/quote/NVDA/history
2023-03-27,26.837000,27.000000,26.365000,26.531000,361026000,https://finance.yahoo.com/quote/NVDA/history
2023-03-28,26.447001,26.513000,25.850000,26.410000,356104000,https://finance.yahoo.com/quote/NVDA/history
2023-03-29,26.825001,27.077999,26.597000,26.983999,393694000,https://finance.yahoo.com/quote/NVDA/history
2023-03-30,27.229000,27.499001,27.101999,27.382999,364516000,https://finance.yahoo.com/quote/NVDA/history
2023-03-31,27.139999,27.834000,27.105000,27.777000,433933000,https://finance.yahoo.com/quote/NVDA/history
2023-04-03,27.509001,28.000000,27.336000,27.965000,398716000,https://finance.yahoo.com/quote/NVDA/history
2023-04-04,27.966000,28.000000,27.306999,27.452999,368592000,https://finance.yahoo.com/quote/NVDA/history
2023-04-05,26.829000,26.997999,26.395000,26.881001,515015000,https://finance.yahoo.com/quote/NVDA/history
2023-04-06,26.584000,27.080000,26.427000,27.037001,397654000,https://finance.yahoo.com/quote/NVDA/history
2023-04-10,26.823000,27.621000,26.669001,27.579000,395279000,https://finance.yahoo.com/quote/NVDA/history
2023-04-11,27.724001,27.790001,27.125999,27.169001,314378000,https://finance.yahoo.com/quote/NVDA/history
2023-04-12,27.370001,27.468000,26.448000,26.495001,446259000,https://finance.yahoo.com/quote/NVDA/history
2023-04-13,26.733999,26.886999,26.329000,26.462999,353615000,https://finance.yahoo.com/quote/NVDA/history
2023-04-14,26.504000,26.882999,26.219999,26.757999,395660000,https://finance.yahoo.com/quote/NVDA/history
2023-04-17,26.565001,27.006001,26.433001,27.002001,321471000,https://finance.yahoo.com/quote/NVDA/history
2023-04-18,27.533001,28.110001,27.357000,27.667000,604812000,https://finance.yahoo.com/quote/NVDA/history
2023-04-19,27.361000,28.000000,27.232000,27.931000,358660000,https://finance.yahoo.com/quote/NVDA/history
2023-04-20,27.671000,28.030001,27.000000,27.104000,427713000,https://finance.yahoo.com/quote/NVDA/history
2023-04-21,26.952000,27.183001,26.722000,27.118999,345103000,https://finance.yahoo.com/quote/NVDA/history
2023-04-24,27.013000,27.365999,26.671000,27.042000,339282000,https://finance.yahoo.com/quote/NVDA/history
2023-04-25,27.077999,27.247000,26.225000,26.240999,378527000,https://finance.yahoo.com/quote/NVDA/history
2023-04-26,27.002001,27.330000,26.705000,26.955999,406337000,https://finance.yahoo.com/quote/NVDA/history
2023-04-27,27.363001,27.495001,26.625000,27.226000,377161000,https://finance.yahoo.com/quote/NVDA/history
2023-04-28,27.225000,27.757999,27.070999,27.749001,292216000,https://finance.yahoo.com/quote/NVDA/history
2023-05-01,27.840000,29.058001,27.780001,28.910000,570329000,https://finance.yahoo.com/quote/NVDA/history
2023-05-02,28.680000,28.836000,28.083000,28.209999,402730000,https://finance.yahoo.com/quote/NVDA/history
2023-05-03,27.840000,28.367001,27.472000,27.802000,383387000,https://finance.yahoo.com/quote/NVDA/history
2023-05-04,27.650999,27.858999,27.240000,27.562000,321850000,https://finance.yahoo.com/quote/NVDA/history
2023-05-05,27.826000,28.754999,27.731001,28.680000,361494000,https://finance.yahoo.com/quote/NVDA/history
2023-05-08,28.521999,29.219999,28.350000,29.150999,344979000,https://finance.yahoo.com/quote/NVDA/history
2023-05-09,28.899000,28.973000,28.450001,28.570999,314869000,https://finance.yahoo.com/quote/NVDA/history
2023-05-10,29.004999,29.113001,28.461000,28.885000,369350000,https://finance.yahoo.com/quote/NVDA/history
2023-05-11,28.896000,28.950001,28.246000,28.577999,322149000,https://finance.yahoo.com/quote/NVDA/history
2023-05-12,28.528999,28.780001,28.046000,28.340000,274222000,https://finance.yahoo.com/quote/NVDA/history
2023-05-15,28.507999,28.969000,28.152000,28.952999,293926000,https://finance.yahoo.com/quote/NVDA/history
2023-05-16,28.841000,29.870001,28.832001,29.212999,449405000,https://finance.yahoo.com/quote/NVDA/history
2023-05-17,29.584000,30.198999,29.430000,30.177999,432535000,https://finance.yahoo.com/quote/NVDA/history
2023-05-18,30.410000,31.827999,30.320000,31.677999,748725000,https://finance.yahoo.com/quote/NVDA/history
2023-05-19,31.535999,31.580000,30.916000,31.264000,473908000,https://finance.yahoo.com/quote/NVDA/history
2023-05-22,30.900999,31.520000,30.680000,31.176001,372000000,https://finance.yahoo.com/quote/NVDA/history
2023-05-23,31.000000,31.288000,30.631001,30.688000,356253000,https://finance.yahoo.com/quote/NVDA/history
2023-05-24,30.209999,30.607000,29.806000,30.538000,721419000,https://finance.yahoo.com/quote/NVDA/history
2023-05-25,38.522999,39.480000,36.634998,37.980000,1543911000,https://finance.yahoo.com/quote/NVDA/history
2023-05-26,37.889999,39.169998,37.549999,38.945999,714397000,https://finance.yahoo.com/quote/NVDA/history
2023-05-30,40.595001,41.938000,39.949001,40.111000,923401000,https://finance.yahoo.com/quote/NVDA/history
2023-05-31,39.487999,40.294998,37.821999,37.834000,1002580000,https://finance.yahoo.com/quote/NVDA/history
2023-06-01,38.488998,40.049999,38.340000,39.770000,635873000,https://finance.yahoo.com/quote/NVDA/history
2023-06-02,40.097000,40.500000,39.057999,39.327000,482731000,https://finance.yahoo.com/quote/NVDA/history
2023-06-05,38.909000,39.564999,38.707001,39.171001,396094000,https://finance.yahoo.com/quote/NVDA/history
2023-06-06,38.830002,39.160000,38.147999,38.653999,388729000,https://finance.yahoo.com/quote/NVDA/history
2023-06-07,38.915001,39.499001,37.355999,37.474998,511998000,https://finance.yahoo.com/quote/NVDA/history
2023-06-08,37.723999,38.863998,37.505001,38.509998,417772000,https://finance.yahoo.com/quote/NVDA/history
2023-06-09,39.036999,39.710999,38.567001,38.770000,427717000,https://finance.yahoo.com/quote/NVDA/history
2023-06-12,39.200001,39.529999,38.618000,39.481998,388701000,https://finance.yahoo.com/quote/NVDA/history
2023-06-13,40.186001,41.101002,39.740002,41.021999,613208000,https://finance.yahoo.com/quote/NVDA/history
2023-06-14,40.824001,43.000000,40.551998,42.997002,740465000,https://finance.yahoo.com/quote/NVDA/history
2023-06-15,42.602001,43.289001,42.146999,42.653000,568622000,https://finance.yahoo.com/quote/NVDA/history
2023-06-16,43.450001,43.721001,42.660999,42.692001,655709000,https://finance.yahoo.com/quote/NVDA/history
2023-06-20,42.998001,43.990002,42.674000,43.807999,451153000,https://finance.yahoo.com/quote/NVDA/history
2023-06-21,43.500999,43.615002,42.080002,43.044998,551603000,https://finance.yahoo.com/quote/NVDA/history
2023-06-22,42.252998,43.425999,42.234001,43.025002,417737000,https://finance.yahoo.com/quote/NVDA/history
2023-06-23,42.464001,42.808998,42.014999,42.209000,358140000,https://finance.yahoo.com/quote/NVDA/history
2023-06-26,42.460999,42.764000,40.099998,40.632000,594322000,https://finance.yahoo.com/quote/NVDA/history
2023-06-27,40.799000,41.939999,40.448002,41.875999,462175000,https://finance.yahoo.com/quote/NVDA/history
2023-06-28,40.660000,41.845001,40.518002,41.117001,582639000,https://finance.yahoo.com/quote/NVDA/history
2023-06-29,41.557999,41.599998,40.599998,40.821999,380514000,https://finance.yahoo.com/quote/NVDA/history
2023-06-30,41.680000,42.549999,41.500999,42.301998,501148000,https://finance.yahoo.com/quote/NVDA/history
2023-07-03,42.516998,42.897999,42.202000,42.412998,198209000,https://finance.yahoo.com/quote/NVDA/history
2023-07-05,42.134998,43.176998,42.084999,42.317001,323618000,https://finance.yahoo.com/quote/NVDA/history
2023-07-06,41.844002,42.179001,41.346001,42.103001,303582000,https://finance.yahoo.com/quote/NVDA/history
2023-07-07,42.321999,43.214001,42.180000,42.502998,355881000,https://finance.yahoo.com/quote/NVDA/history
2023-07-10,42.657001,42.811001,41.648998,42.180000,353908000,https://finance.yahoo.com/quote/NVDA/history
2023-07-11,42.480999,42.757999,42.067001,42.404999,298244000,https://finance.yahoo.com/quote/NVDA/history
2023-07-12,43.033001,43.935001,42.777000,43.902000,481277000,https://finance.yahoo.com/quote/NVDA/history
2023-07-13,44.518002,46.154999,44.492001,45.977001,478204000,https://finance.yahoo.com/quote/NVDA/history
